Analizador lexico:
LexToken(CLASS,'class',3,54)
LexToken(CONSTANT,'TodoList',3,60)
LexToken(DEF,'def',4,73)
LexToken(LOCAL_VAR,'initialize',4,77)
LexToken(INSTANCE_VAR,'@tasks',5,94)
LexToken(EQUAL,'=',5,101)
LexToken(L_ULTRA_PAREN,'[',5,103)
LexToken(R_ULTRA_PAREN,']',5,104)
LexToken(END,'end',6,110)
LexToken(DEF,'def',9,162)
LexToken(LOCAL_VAR,'add_task',9,166)
LexToken(L_PAREN,'(',9,174)
LexToken(LOCAL_VAR,'description',9,175)
LexToken(R_PAREN,')',9,186)
LexToken(LOCAL_VAR,'task',10,194)
LexToken(EQUAL,'=',10,199)
LexToken(L_MAYUS_PAREN,'{',10,201)
LexToken(LOCAL_VAR,'description',10,203)
LexToken(TWO_POINTS,':',10,214)
LexToken(LOCAL_VAR,'description',10,216)
LexToken(COMMA,',',10,227)
LexToken(LOCAL_VAR,'completed',10,229)
LexToken(TWO_POINTS,':',10,238)
LexToken(LOCAL_VAR,'false',10,240)
LexToken(R_MAYUS_PAREN,'}',10,246)
LexToken(INSTANCE_VAR,'@tasks',11,254)
LexToken(LOCAL_VAR,'task',11,264)
LexToken(LOCAL_VAR,'puts',12,275)
LexToken(STRING,"Tarea '#{description}' añadida a la lista.",12,280)
LexToken(END,'end',13,329)
LexToken(DEF,'def',16,379)
LexToken(LOCAL_VAR,'complete_task',16,383)
LexToken(L_PAREN,'(',16,396)
LexToken(LOCAL_VAR,'index',16,397)
LexToken(R_PAREN,')',16,402)
LexToken(IF,'if',17,410)
LexToken(LOCAL_VAR,'index',17,413)
LexToken(INTEGER,0,17,421)
LexToken(LOCAL_VAR,'index',17,426)
LexToken(GREATER,'>',17,432)
LexToken(EQUAL,'=',17,433)
LexToken(INSTANCE_VAR,'@tasks',17,435)
LexToken(LOCAL_VAR,'length',17,442)
LexToken(LOCAL_VAR,'puts',18,457)
LexToken(STRING,'Índice fuera de rango',18,462)
LexToken(ELSE,'else',19,492)
LexToken(INSTANCE_VAR,'@tasks',20,505)
LexToken(L_ULTRA_PAREN,'[',20,511)
LexToken(LOCAL_VAR,'index',20,512)
LexToken(R_ULTRA_PAREN,']',20,517)
LexToken(L_ULTRA_PAREN,'[',20,518)
LexToken(TWO_POINTS,':',20,519)
LexToken(LOCAL_VAR,'completed',20,520)
LexToken(R_ULTRA_PAREN,']',20,529)
LexToken(EQUAL,'=',20,531)
LexToken(LOCAL_VAR,'true',20,533)
LexToken(LOCAL_VAR,'puts',21,546)
LexToken(STRING,"Tarea '#{@tasks[index][:description]}' completada.",21,551)
LexToken(END,'end',22,610)
LexToken(END,'end',23,618)
LexToken(DEF,'def',26,666)
LexToken(LOCAL_VAR,'delete_task',26,670)
LexToken(L_PAREN,'(',26,681)
LexToken(LOCAL_VAR,'index',26,682)
LexToken(R_PAREN,')',26,687)
LexToken(IF,'if',27,695)
LexToken(LOCAL_VAR,'index',27,698)
LexToken(INTEGER,0,27,706)
LexToken(LOCAL_VAR,'index',27,711)
LexToken(GREATER,'>',27,717)
LexToken(EQUAL,'=',27,718)
LexToken(INSTANCE_VAR,'@tasks',27,720)
LexToken(LOCAL_VAR,'length',27,727)
LexToken(LOCAL_VAR,'puts',28,742)
LexToken(STRING,'Índice fuera de rango',28,747)
LexToken(ELSE,'else',29,777)
LexToken(LOCAL_VAR,'removed_task',30,790)
LexToken(EQUAL,'=',30,803)
LexToken(INSTANCE_VAR,'@tasks',30,805)
LexToken(LOCAL_VAR,'delete_at',30,812)
LexToken(L_PAREN,'(',30,821)
LexToken(LOCAL_VAR,'index',30,822)
LexToken(R_PAREN,')',30,827)
LexToken(LOCAL_VAR,'puts',31,837)
LexToken(STRING,"Tarea '#{removed_task[:description]}' eliminada.",31,842)
LexToken(END,'end',32,899)
LexToken(END,'end',33,907)
LexToken(DEF,'def',36,963)
LexToken(LOCAL_VAR,'show_tasks',36,967)
LexToken(LOCAL_VAR,'puts',37,984)
LexToken(STRING,'Lista de Tareas:',37,989)
LexToken(INSTANCE_VAR,'@tasks',38,1014)
LexToken(LOCAL_VAR,'each_with_index',38,1021)
LexToken(LOCAL_VAR,'do',38,1037)
LexToken(LOCAL_VAR,'task',38,1041)
LexToken(COMMA,',',38,1045)
LexToken(LOCAL_VAR,'index',38,1047)
LexToken(LOCAL_VAR,'status',39,1062)
LexToken(EQUAL,'=',39,1069)
LexToken(LOCAL_VAR,'task',39,1071)
LexToken(L_ULTRA_PAREN,'[',39,1075)
LexToken(TWO_POINTS,':',39,1076)
LexToken(LOCAL_VAR,'completed',39,1077)
LexToken(R_ULTRA_PAREN,']',39,1086)
LexToken(STRING,'Completada',39,1090)
LexToken(TWO_POINTS,':',39,1103)
LexToken(STRING,'Pendiente',39,1105)
LexToken(LOCAL_VAR,'puts',40,1125)
LexToken(STRING,'#{index + 1}. #{task[:description]} - #{status}',40,1130)
LexToken(END,'end',41,1186)
LexToken(END,'end',42,1194)
LexToken(END,'end',43,1200)
LexToken(LOCAL_VAR,'todo_list',46,1250)
LexToken(EQUAL,'=',46,1260)
LexToken(CONSTANT,'TodoList',46,1262)
LexToken(LOCAL_VAR,'new',46,1271)
LexToken(LOCAL_VAR,'todo_list',47,1277)
LexToken(LOCAL_VAR,'add_task',47,1287)
LexToken(L_PAREN,'(',47,1295)
LexToken(STRING,'Comprar leche',47,1296)
LexToken(R_PAREN,')',47,1311)
LexToken(LOCAL_VAR,'todo_list',48,1315)
LexToken(LOCAL_VAR,'add_task',48,1325)
LexToken(L_PAREN,'(',48,1333)
LexToken(STRING,'Hacer ejercicio',48,1334)
LexToken(R_PAREN,')',48,1351)
LexToken(LOCAL_VAR,'todo_list',49,1355)
LexToken(LOCAL_VAR,'add_task',49,1365)
LexToken(L_PAREN,'(',49,1373)
LexToken(STRING,'Estudiar Ruby',49,1374)
LexToken(R_PAREN,')',49,1389)
LexToken(LOCAL_VAR,'todo_list',51,1396)
LexToken(LOCAL_VAR,'show_tasks',51,1406)
LexToken(LOCAL_VAR,'todo_list',53,1422)
LexToken(LOCAL_VAR,'complete_task',53,1432)
LexToken(L_PAREN,'(',53,1445)
LexToken(INTEGER,1,53,1446)
LexToken(R_PAREN,')',53,1447)
LexToken(LOCAL_VAR,'todo_list',54,1451)
LexToken(LOCAL_VAR,'show_tasks',54,1461)
LexToken(LOCAL_VAR,'todo_list',56,1477)
LexToken(LOCAL_VAR,'delete_task',56,1487)
LexToken(L_PAREN,'(',56,1498)
LexToken(INTEGER,0,56,1499)
LexToken(R_PAREN,')',56,1500)
LexToken(LOCAL_VAR,'todo_list',57,1504)
LexToken(LOCAL_VAR,'show_tasks',57,1514)

Errores:
Illegal character ('<',11,14)
Illegal character ('<',11,15)
Illegal character ('<',17,16)
Illegal character ('|',17,20)
Illegal character ('|',17,21)
Illegal character ('.',17,38)
Illegal character ('<',27,16)
Illegal character ('|',27,20)
Illegal character ('|',27,21)
Illegal character ('.',27,38)
Illegal character ('.',30,30)
Illegal character ('.',38,13)
Illegal character ('|',38,33)
Illegal character ('|',38,45)
Illegal character ('?',39,35)
Illegal character ('.',46,23)
Illegal character ('.',47,12)
Illegal character ('.',48,12)
Illegal character ('.',49,12)
Illegal character ('.',51,12)
Illegal character ('.',53,12)
Illegal character ('.',54,12)
Illegal character ('.',56,12)
Illegal character ('.',57,12)
