Analizador lexico:
LexToken(CLASS,'class',4,100)
LexToken(R_PAREN,')',41,1148)
LexToken(LOCAL_VAR,'todo_list',43,1155)
LexToken(DOT,'.',43,1164)
LexToken(LOCAL_VAR,'show_tasks',43,1165)
LexToken(LOCAL_VAR,'todo_list',45,1181)
LexToken(DOT,'.',45,1190)
LexToken(LOCAL_VAR,'complete_task',45,1191)
LexToken(L_PAREN,'(',45,1204)
LexToken(INTEGER,1,45,1205)
LexToken(R_PAREN,')',45,1206)
LexToken(LOCAL_VAR,'todo_list',46,1210)
LexToken(DOT,'.',46,1219)
LexToken(LOCAL_VAR,'show_tasks',46,1220)
LexToken(LOCAL_VAR,'todo_list',48,1236)
LexToken(DOT,'.',48,1245)
LexToken(LOCAL_VAR,'delete_task',48,1246)
LexToken(L_PAREN,'(',48,1257)
LexToken(INTEGER,0,48,1258)
LexToken(R_PAREN,')',48,1259)
LexToken(LOCAL_VAR,'todo_list',49,1263)
LexToken(DOT,'.',49,1272)
LexToken(LOCAL_VAR,'show_tasks',49,1273)
