Analizador lexico:
LexToken(DOT,'.',52,1451)
LexToken(LOCAL_VAR,'show_tasks',52,1452)
LexToken(LOCAL_VAR,'todo_list',54,1468)
LexToken(DOT,'.',54,1477)
LexToken(LOCAL_VAR,'complete_task',54,1478)
LexToken(L_PAREN,'(',54,1491)
LexToken(INTEGER,1,54,1492)
LexToken(R_PAREN,')',54,1493)
LexToken(LOCAL_VAR,'todo_list',55,1497)
LexToken(DOT,'.',55,1506)
LexToken(LOCAL_VAR,'show_tasks',55,1507)
LexToken(LOCAL_VAR,'todo_list',57,1523)
LexToken(DOT,'.',57,1532)
LexToken(LOCAL_VAR,'delete_task',57,1533)
LexToken(L_PAREN,'(',57,1544)
LexToken(INTEGER,0,57,1545)
LexToken(R_PAREN,')',57,1546)
LexToken(LOCAL_VAR,'todo_list',58,1550)
LexToken(DOT,'.',58,1559)
LexToken(LOCAL_VAR,'show_tasks',58,1560)

Errores:
Illegal character ('|',39,33)
Illegal character ('|',39,45)
Illegal character ('?',40,35)
